text,true_label,pred_label
press start for nostalgia like led zeppelin 39 s 39 39 stairway to heaven 39 39 and lynyrd skynyrd 39 s 39 39 freebird 39 39 classic video games like frogger and pong can bring back an entire era,4,2
u s softball team wins closes in on gold athens greece right now the americans aren t just a dream team they re more like the perfect team lisa fernandez pitched a three hitter sunday and crystl bustos drove in two runs as the americans rolled to their eighth shutout in eight days 5 0 over australia putting them into the gold medal game,1,2
men set for sizzling duel in 100 meters athens greece the preliminaries in the 100 meters were perhaps just a sample of what s to come sunday when a talented group of qualifiers including americans shawn crawford justin gatlin and defending champion maurice greene will try to turn their competition into the fastest show at the athens games five men broke 10 seconds in qualifying saturday led by crawford s time of 9 89,1,2
nortel downsizes again aug 23 2004 thedeal com problem plagued nortel networks corp announced plans thursday aug 19 to eliminate an additional 3 500 jobs and fire seven more senior executives as the company labors to reinvent,3,4
prototype copter cam here there everywhere it can only remain aloft for three minutes but weighs less than an empty soft drink can and it can take and transmit pictures in flight,4,3
chavez rejects cd as opposition venezuela 39 s president hugo chavez has announced that he will no longer recognize the democratic coordination or cd as the opposition coalition,3,1
record biz hammers 39 ostrich 39 downloaders the music industry in the us is making great strides in its campaign against people it says have illegally downloaded music with courts awarding huge settlements in many cases,4,1
oil eases as iraq resumes exports lt p gt lt p gt lt p gt by andrew mitchell lt p gt lt p gt london reuters high flying oil prices eased for a second session on monday as iraq resumed exports from both its northern and southern outlets after lengthy disruption despite fierce fighting in the holy city of najaf lt p gt,3,1
u s men s hoops team finally gets a rout athens greece the americans got a taste of what it was like in the good ol days they finally played an opponent they were able to beat easily routing angola 89 53 monday in their final preliminary game of the olympic men s basketball tournament,1,2
observers insist no proof of fraud in venezuelan referendum independent observers confirmed that the random auditing of results from the recall referendum sunday august 15 against venezuelan president hugo chavez show there are no indications of fraud as claimed by the opposition,3,1
deal has s2io champing at the gigabit ottawa a local firm that says it can help shrink backup times at large data centres is growing its business thanks to an alliance with sun microsystems inc,3,4
intel drops prices on computer chips san francisco intel corp has cut prices on its computer chips by as much as 35 percent though analysts on monday said the cuts were probably unrelated to swelling inventories of the world 39 s largest chip maker,4,3
iran shuts reformist websites websites close to iran 39 s leading reformist party have been blocked by religious hardliners in the police bureau of public morals,4,1
martian weather blamed for loss of beagle 2 description an investigation into the loss of britain 39 s beagle 2 spacecraft last december suggests the cause may have been unusual martian weather,4,3
39 somebody please save my dad 39 nick du toit 39 s wife and stepdaughter are distraught that there is nothing they can do to help him on monday his stepdaughter marilise bezuidenhout was forced to convey the news of his possible death sentence,1,2
update 1 passengers stranded by canceled flights thousands of disgruntled vacationers were stranded at heathrow airport tuesday after british airways canceled scores of flights because of staff shortages and technical hitches,1,3
branson virgin billionaire eyes china telecom deal can you hear him now virgin group chairman richard branson said in hong kong that his company has earmarked 300 million for a cell phone joint venture in china,3,4
careening indians fall slumping cleveland lost a three run lead while derek jeter homered and stole two ninth inning bases as new york sent the indians to their ninth consecutive loss 5 4 tuesday,2,1
site security gets a recount at rock the vote grassroots movement to register younger voters leaves publishing tools accessible to outsiders,4,1
india s tata makes powerful debut shares in indian software services giant tata consultancy close 16 higher on their market debut raising 1 2bn for the company,1,3
eu to probe microsoft time warner buy the decision is a setback for the two companies and their plan to acquire contentguard a digital rights management firm,4,3
bryant prosecutors say some data tainted denver crucial dna evidence tested by defense experts in the kobe bryant sexual assault case might have been contaminated prosecutors said in a court filing released wednesday just two days before jury selection is to begin prosecutors said they had found contamination in dna control samples intended to ensure testing was accurate,1,2
mom 2005 released to manufacturing microsoft on wednesday announced the release to manufacturing of microsoft operations manager mom 2005 and mom 2005 workgroup edition a new edition that the company previously called mom 2005 express,3,4
jones advances in long jump johnson out athens greece marion jones made her athens debut in virtual anonymity quietly advancing to the long jump final allen johnson had the attention of everyone in the stadium for all the wrong reasons,1,2
belarus bank denies money laundering charge a bank in belarus has denied us charges that it laundered money for former iraqi leader saddam hussein infobank in a statement said it has strictly followed international agreements related to the fight against illegal transactions,3,1
dream team leads spain 44 42 at halftime athens greece as expected the u s men s basketball team had its hands full in a quarterfinal game against spain on thursday,1,2
report intel logs big gains in flash market intel 39 s share of the booming flash market jumped 40 8 percent in the second quarter according to market research firm isuppli corp,4,3
u n urges funds to curb african locusts ap ap with swarms of locusts threatening crops in a number of african countries a u n agency appealed for an additional 36 70 million in assistance thursday to prevent the upsurge from becoming a full scale plague,4,1
nepal blockade blow to tourism nepal tour operators say tourists cancelled millions of dollars of bookings due to the rebel blockade of kathmandu,3,1
spears fiance to star in her new video new york britney spears former backup dancer and current fiance kevin federline can add another title to his resume co star on wednesday a jive records publicist confirmed federline is featured in spears upcoming my prerogative video set to debut in mid september,1,4
103 arrests for internet fraud related crimes since june us afp afp us authorities arrested at least 103 suspects and filed 117 criminal complaints since june 1 in a crackdown on various forms of online fraud attorney general john ashcroft said,4,1
tivo loss widens san francisco cbs mw tivo said its second quarter loss widened from a year earlier on higher customer acquisition costs free,4,3
nigerian senate approves 1 5 bln claim on shell lagos nigeria 39 s senate has passed a resolution asking shell 39 s nigerian unit to pay 1 5 billion in compensation to oilfield communities for pollution a senate spokesman said,3,1
us edge out brazil for gold the united states beat brazil 2 1 in extra time to win the women s olympic football tournament,1,2
union leaders held under esma on day 6 of strike new delhi august 26 the sixth day of the truckers strike on thursday saw 12 more truckers being arrested under the essential services maintenance act esma in the capital,3,1
dominicans swift step into crisis santo domingo dominican republic when sandro batista smashed his banana truck into a tree in april leaving him with two hideously shattered legs and a broken arm his orthopedic surgeon sent his sister shopping,3,1
us economic growth slips to 2 8 annual us economic growth fell to 2 8 in the second quarter of 2004 marking a slowdown from the 3 estimated a month ago,1,3
japanese utility plans ipo in october ap ap electric power development co a former state run utility said friday it is planning an initial public offering on the tokyo stock exchange in october a deal that could be the country s biggest new stock listing in six years,1,3
verisign 39 s antitrust claim against icann dismissed quot verisign 39 s contentions are deficient quot judge howard matz wrote in the 16 page decision setting aside the antitrust claims against icann,4,3
flying cars reportedly still decades away ap ap it s a frustrated commuter s escapist fantasy literally lifting your car out of a clogged highway and soaring through the skies landing just in time to motor into your driveway,4,1
hp to tempt holiday shoppers with sights and sounds the computer hardware giant best known for products such as pcs and printers on friday laid out its plan to become a brand name in consumer electronics products such as flat screen tvs music players and the devices that move content between them,3,4
argentina beats u s men s basketball team argentina defeated the united states team of national basketball association stars 89 81 here friday in the olympic semi finals dethroning the three time defending champions,1,2
siemens says cellphone flaw may hurt users and its profit siemens the world 39 s fourth largest maker of mobile phones said friday that a software flaw that can create a piercing ring in its newest phone models might hurt earnings in its handset division,3,4
gop jamboree could briefly lift stocks new york reuters fasten your seatbelts the republicans are coming to town if things go smoothly at the republican national convention the stock market could get a brief boost next week experts say,3,1
bea arthur for president bea arthur sparked a security scare at logan airport in boston this week when she tried to board a cape air flight with a pocketknife in her handbag the golden girls star now 81 was flagged by a transportation security administration agent who discovered the knife a strict no no following 9 11 she started yelling that it wasn t hers and said the terrorists put it there a fellow passenger said she kept yelling about the terrorists the terrorists the terrorists after the blade was confiscated arthur took a keyring from her bag and told the agent it belonged to the terrorists before throwing it at them via philly com,4,1
hurricane watch issued for gaston off s c columbia s c a hurricane watch was issued for the south carolina coast saturday as forecasters predicted tropical storm gaston would make landfall near charleston on sunday night,1,2
health highlights aug 28 2004 a new drug that fights a form of age related macular degeneration amd a leading cause of blindness in the elderly won applause if not approval from a panel of advisors to the us food and drug administration,3,4
terror is below radar in russia it took 2 days for russia 39 s security service to announce what virtually everyone else believed from the moment two domestic passenger airlines plunged to earth simultaneously,1,4
conn man 70 oldest to swim channel london a retired connecticut pilot has become the oldest person to swim the english channel george brunstad 70 left dover england saturday morning heading for the french coast,1,2
us bells do video on path blazed by small telcos the three largest us local telephone corporations made a splash this summer with plans to sell video services on their voice and data lines in a few years,3,4
our mobile margins will fall telstra telstra chief financial officer john stanhope has admitted telstra 39 s margins in its 4 5 billion a year mobile phone business will shrink this year in the face of increased price competition and the growing cost of acquiring new customers,4,3
a 39 new greece 39 beams after success of games as greeks get a boost it remains unclear if success will mean higher stature in europe by peter ford staff writer of the christian science monitor,2,3
canada us fail to resolve beef trade dispute canada and the united states have failed to reach an agreement on resuming us imports of canadian live cattle local press reported sunday,3,1
gop jamboree may give stocks brief lift new york reuters fasten your seatbelts the republicans are in town if things go smoothly at the republican national convention the stock market could get a brief boost this week experts say,3,1
mr chang strike a pose halfway around the world standing virtually in the middle of the pacific ocean the incomparable timmy chang is just days away from throwing his first pass of the season from my tattered sofa i will be watching him i want you to watch him too,2,4
still no beef resolution after latest talks new york aug 30 2004 cattle farmers and haulers finally looking for a quick end to a 15 month ban on live cattle exports to the us are out of luck after canadian agriculture minister andy mitchell,3,1
for now unwired means unlisted that may change in october most major cellphone carriers plan to start compiling a publicly accessible listing of wireless phone numbers,3,4
scaffold collapse survivors improving one of the men who survived friday 39 s fatal scaffold collapse is in guarded condition at detroit receiving hospital and the two other survivors were released on sunday a hospital spokeswoman said,3,1
on tv from the internet san mateo calif the promise of internet based video has long been hamstrung by copyright and piracy worries slow dial up connections technical challenges and consumer disdain for watching blotchy videos on their home computers,3,4
intel in new chip breakthrough intel creates a more powerful memory chip without increasing its size confounding the firm s critics,3,4
carnival crowds likely to top 1m as the notting hill carnival enters its final day police say they are pleased with how it has gone so far about 250 000 people took to the streets on sunday more than double the first day last year to celebrate 40 years of the west london event,1,2
bryant makes first appearance at trial ap ap nba star kobe bryant arrived at his sexual assault trial monday as attorneys in the case who spent the weekend poring over questionnaires prepared to question potential jurors individually,4,2
survey it spending to grow modestly next year cio confidence is up in third quarter according to forrester poll,4,3
iraqi oil exports slump report near daily attacks on pipelines and pumping stations had pushed down iraq 39 s oil exports to their lowest point in nearly a year britain 39 s financial times newspaper reported today,1,3
orion debuts cluster workstation orion multisystems a new company founded by former transmeta quote chart executives debuted a family of workstations monday that think and act like a cluster of servers,4,3
a better solution for israel the hysterical tone of daniel seidemann 39 s plea to the next us administration to save israel from itself serves no useful purpose op ed aug 26,1,4
japan should outsource more the japanese information services industry clocked up sales of 13 703 9 billion yen in fiscal 2001 according to a report on selected service industries for 2001 released by the ministry of economy trade and industry meti,1,3
hall of shame hall of fame we spotlight people and products that pester us and the heroes saving us from annoyances,4,2
study ceos rewarded for outsourcing new york cnn money the ceos of the top 50 us companies that sent service jobs overseas pulled down far more pay than their counterparts at other large companies last year a study said tuesday,3,4
maddux wins no 302 baker wins no 1 000 greg maddux pitched the chicago cubs into the lead in the nl wild card race and gave dusty baker a win to remember maddux threw seven shutout innings for his 302nd career win baker got his 1 000th victory as a manager and chicago beat the montreal expos 5 2 on monday night,1,2
francis nixes hurricanes front office job ap ap ron francis turned down a front office job with the carolina hurricanes and is still deciding whether he wants to continue his playing career,2,4
old rumors of gay sex prove powerful on web va gop members chose del thelma drake norfolk to replace rep edward l schrock after he resigned amidst allegations schrock indulged in or solicited gay sex,4,1
three jockeys one trainer arrested london british police arrested 16 people including three jockeys and a trainer wednesday as part of a major crackdown on corruption in horse racing,2,1
china s lenovo in talks with major it firm for acquisition afp afp china s largest manufacturer of personal computers lenovo group said it is in negotiations with a major information technology company believed to be us based ibm,4,1
paris tourists search for key to da vinci code reuters reuters a funny thing happened on the way to the mona lisa visitors to the louvre museum in paris home of the world s most famous painting started quizzing tour guides about dan brown s best selling novel the da vinci code,1,4
taiwan 39 s acer picks a european as president taipei acer the taiwan computer company named gianfranco lanci of italy as its president on wednesday an appointment that signals the company 39 s ambitions to expand its global market share,4,1
europeans eat less of dangerous fatty foods by paul geitner brussels belgium ap europeans eat less of the most dangerous cholesterol raising fats than americans do and the amount is decreasing according to a report released wednesday by the european food safety authority scientists at the european food safety authority declined to say whether the eu should follow the united states lead and require special labels on margarine chips cookies fries and other potential sources of trans fatty acids,4,1
strong hurricane roars over bahamas toward florida reuters reuters hurricane frances battered the southeastern bahamas islands with 140 mph winds on wednesday as it roared toward the united states and put millions of people on alert along florida s heavily populated east coast,4,1
software service aims to outfox caller id a new computerized service enables customers to create phony outbound phone numbers in order to mask their telephone identities,3,4
orange tells customers to talk now european carrier orange is rolling out its own push to talk service ahead of efforts to create a standardized ptt system european mobile carrier orange has announced,4,3
red hat replaces cfo charles peters jr is taking over as the company deals with the aftereffects of restating its earnings for the past three fiscal years,4,3
appeals court faults oracle in shareholder suit judges send case back to lower court to sort out allegations of improper bookkeeping and suspicious stock sales,4,3
davenport advances at u s open new york lindsay davenport s summer of success stayed on course thursday when the fifth seeded former u s open champion defeated arantxa parra santonja 6 4 6 2 and advanced to the third round of the season s final grand slam event,1,2
megawati kicks off 36th asean economic meeting jakarta agencies president megawati soekarnoputri opened high level economic talks between members of the association of southeast asian nations asean on friday with a warning to asean leaders that they must stay the course on their agreed,3,1
semiconductor manufacturing to boost capacity by half update2 semiconductor manufacturing international corp china 39 s biggest supplier of made to order chips said its factory capacity will rise by more than half in the second half as the company brings more plants on line,4,3
the bahamas the real medal winner of the athens olympics a different way of calculating the medal standings brings some interesting results,4,2
eu foreign ministers hope to break deadlock over asem summit the european union said friday it quot hoped to reach a conclusion quot at a meeting of foreign ministers on the participation of military ruled myanmar in an upcoming summit of asian and european nations,3,1
usa textile industry to renew request to place embargo on lt b gt lt b gt the us textile industry officials would plead for blocking chinese imports to the bush administration this month earlier this year the white house had rejected a similar request made by 130 republican and democratic members of congress,3,1
asean moves closer to single market with 39 road map 39 global trade lt b gt lt b gt jakarta asean finance ministers ended a meeting which saw southeast asia edge closer to a europe style single market laying out a quot road map quot for integration and opening doors to wider global trade,1,4
global sales of mobile phones hit record levels paris global cellphone sales rose to record levels in the second quarter as nokia clawed back some of its lost market share according to figures released thursday,4,3
world briefs london a man wielding a machete and a knife attacked two security guards at the building housing the headquarters of the british domestic intelligence service mi5 on friday police said,3,1
next gen games prove a challenge making games for the future consoles is going to take a lot of time and money a games conference is told,4,2
retailers looking to move plasma tv s ap ap hanging stockings by the chimney with care retailers hope that st nicholas soon will be there 151 to hang a 42 inch plasma screen tv,3,4
philippines mourns dead in russian school siege the philippines saturday expressed quot deepest sympathy quot to the families of the dead in the russian school siege on friday in which 322 people were killed when russian troops stormed,4,1
dell cuts prices on many corporate products dell on monday said it had cut prices by as much as fifth for a range of products aimed at us corporate customers as the computer maker passed along savings from cheaper components,4,3
drug makers target counterfeits big pharmaceutical companies are testing new tracking technology they hope will help them spot counterfeit drugs before they reach consumers medicine cabinets,3,4
israel to close erez industrial zone before march israel would start liquidating the erez industrial zone in the northern gaza strip before launching the first stage of the disengagement plan in march 2005 local newspaper ha 39 aretz reported on tuesday,3,1
pc screen price fall to slow in fourth quarter reuters reuters prices of computer screens are expected to fall by less than 5 percent in the fourth quarter as the market stabilizes on hopes of a pick up in demand during the christmas season a u s based research firm said on tuesday,4,3
tribe challenges american origins some of the earliest settlers of america may have been from australia southern asia and the pacific not northern asia research suggests,4,1
florida deaths blamed on hurricane frances state and local officials tuesday said nine people have died in florida because of hurricane frances the following describes those deaths a 15 year old grandson and a former son,2,1
matsushita unveils dvd recorders eyes higher share tokyo reuters panasonic brand products maker matsushita electric industrial unveiled five new dvd recorders on wednesday and said it was aiming to boost its share of the domestic market to over 40 percent from around 35 percent,4,3
hyundai signs deal for china truck plant hyundai motor co said yesterday that it has signed an agreement with a chinese company jianghuai automobile corp to build a commercial vehicle and engine plant in china 39 s anhui province,4,3
stocks drop after greenspan testimony new york investors were unmoved by federal reserve chairman alan greenspan s improved assessment of the economy with stocks falling narrowly wednesday in light trading while greenspan said the economy has regained some traction after the summer s slowdown he echoed wall street s concerns over energy prices which have fallen from record highs in recent weeks but stubbornly remain above 40 per barrel,1,3
the week no 1 at last water running over a rock wind ripping across a sand dune the ocean washing up against the shore whatever the image for the last three years vijay singh has been the,2,4
groups offers beer for blood donations ap ap some in michigan who roll up their sleeves to donate blood will get a racetrack t shirt hat and pin sponsors in san diego have given away whale watching trips on wednesday the cleveland regional transit authority handed out vouchers for a pint of any beverage including beer in exchange for a pint of blood,4,1
bonds s excuse has the scent of snake oil not arthritis balm barry bonds s ignorance of the substances obtained by his trainer from balco is more childish than a youngster s excuse that the dog ate my homework,2,3
florida starts to recover in the wake of hurricane frances president bush will travel to florida wednesday to survey damage from hurricane frances he sent a letter to congress asking for 2 billion to help with recovery efforts,4,3
colts lead pats early in third quarter foxboro mass peyton manning reached the 25 000 yard passing mark faster than anyone but dan marino and the indianapolis colts shredded the new england patriots for a 17 13 halftime lead thursday night,1,2
telescope snaps distant planet the first direct image of a planet circling another star may have been obtained by a us european team of astronomers,1,4
u s ringtones market slow to connect san francisco billboard with a possible billion dollar windfall at stake u s music companies are eagerly awaiting the full blown development of the stateside ringtone market,4,3
storms seem to cure floridians of hurricane amnesia the state 39 s east coast hadn 39 t been hit by a hurricane since 1999 that and the fact that florida hasn 39 t had its historic share of such storms in recent decades has led to some complacency about their effects,3,1
post olympic greece tightens purse sells family silver to fill budget holes afp afp squeezed by a swelling public deficit and debt following last month s costly athens olympics the greek government said it would cut defence spending and boost revenue by 1 5 billion euros 1 84 billion dollars in privatisation receipts,3,1
let a thousand ideas flower china is a new hotbed of research in recent years hundreds of multinational companies have set up research laboratories in china,3,4
bullies move online singapore more complaints of cyberbullying are emerging from youngsters in singapore than any other country except the united states an international safety group said in a report on monday,4,3
microsoft vs sendo it 39 s over the legal battle between uk phone manufacturer sendo and microsoft has been settled the companies announced on monday morning sendo had been suing microsoft for the alleged theft of trade secrets fraud,3,4
at last success on the road for lions the detroit lions went three full seasons without winning an away game setting an nfl record for road futility they ended that ignominious streak sunday in their first opportunity of the season beating the chicago bears 20 16 at soldier field,1,2
fda approves lens implant to sharpen sight washington there s a new option for people who suffer from extreme nearsightedness whose world loses its crisp edge just a few inches from their noses the first implantable lens for nearsightedness was approved monday by the food and drug administration,1,3
eu increases pressure for rights in myanmar eu foreign ministers agreed monday to tighten sanctions against myanmar if it does not improve its human rights record by oct 8 when an eu meeting with asian countries starts in vietnam,3,1
dropping hyphen some great old stores become just macy 39 s n the not so distant past the names burdines rich 39 s goldsmith 39 s bon march and lazarus had a local glory as the emporiums where customers bought their back to school clothes and discovered their mother 39 s day presents,3,4
help wanted by it services firms the growing services industry is hiring but tech workers looking for a job may need to do more than brush up on their coding,4,3
sun trims fourth quarter earnings by 12 million sun microsystems inc trimmed its fourth quarter and full year 2004 results this week to account for final accounting of asset retirement obligations and its settlement with microsoft corp,4,3
german investor confidence slumped in september berlin german investor confidence dropped sharply in september a key economic indicator released tuesday showed amid concerns about the impact of high oil prices on consumer demand and the outlook for the global economy,1,3
flower power turns up the volume a japanese company has come up with a way of turning flowers into loudspeakers,4,3
tyncastle sale gets official go ahead of the votes received by proxy and from shareholders in the room at a stormy extraordinary general meeting last night 62 5 were in favour of the resolution,2,3
oracle profit rises on software demand san francisco reuters oracle corp on tuesday reported a higher quarterly profit as the world s second largest software company benefited from steady demand for its flagship database software,3,4
letter from europe the all too human hitler on your big screen the release of a major movie about hitler is by definition a remarkable event in germany especially if it portrays one of history 39 s great monsters as a human being given,1,4
same sex divorce rules still hazy now that an ontario couple has been given canada 39 s first same sex divorce experts are divided over just how easy it will be for gays and lesbians in other provinces to end their marriages,1,4
study 400k fewer tech jobs since 2001 the us information tech sector lost 403 300 jobs between march 2001 and this past april and the market for tech workers remains bleak according to a new report,3,4
slowing population lacks funds rich countries are giving only half the amount they promised to help to slow world population growth the un says,4,3
stocks sink on coke s gloomy forecast new york stocks headed lower wednesday after beverage giant coca cola co issued a gloomy forecast and a lower than expected reading on industrial production for august threw the nation s broader economic outlook into question,1,3
cities in crisis leaders warn world leaders warn that rapid urbanisation will become one of the biggest challenges of the 21st century,4,1
hp wins defense contract hp quote chart was awarded a 290 million 10 year outsourcing contract with the defense logistics agency 39 s dla enterprise data center edc program officials announced wednesday,3,4
adv try currency trading risk free 30 days 24 hour commission free trading 100 to 1 leverage of your capital and dealbook fx 2 our free advanced trading software sign up for our free 30 day trial and receive one on one training,3,4
news governments slow off the mark to combat growing threats of cybercrime the associated press by robert wielaard,4,1
gm plans to use woods more creatively ap ap general motors corp is thrilled that tiger woods will promote buick for the next five years but gm chairman rick wagoner says the automaker could make better use of the world s best known golfer,2,3
infineon to pay a fine in the fixing of chip prices federal prosecutors announced on wednesday that they had cracked a global cartel that had illegally fixed prices of memory chips in personal computers and servers for,3,4
mexico migrant smugglers turning to sea ap ap migrant smugglers are skirting heightened security along the border by using small boats to shuttle people from the under supervised baja coast into southern california marinas and harbors already jammed with legal commercial ships and pleasure boat traffic,1,4
icing call out of money out of patience out of time and for the foreseeable future out of business,2,3
senate panel opposes overtime rules a senate committee voted yesterday to scuttle new rules that critics say would deny overtime pay to millions of workers as democrats won the latest round in their election year bout with president bush over the issue,3,1
infineon admits conspiracy in dram cartel giant memory company infineon will plead guilty to price fixing of dram chips and will pay 160 million in fines to the us government,3,4
netopia to restate results reuters reuters netopia inc a maker of networking gear on thursday said its auditor kpmg llp resigned and said it will restate two years of results and revise the results in its most recent fiscal quarter,4,3
un says more money needed for population programs the united nations released its annual population report on wednesday and it said it needs more money for population programs a top united nations official says if more money isn 39 t found for population programs,1,4
schooling mix up hits portugal schools across portugal turn away pupils because of a teachers assignment mix up on the first day of classes,1,4
nortel lowers expectations nortel said it expects revenue for the third quarter to fall short of expectations,4,3
eu wants u s aid to boeing clarified ap ap the european union on thursday demanded washington explain more clearly how it subsidizes boeing co and warned it would counter any u s challenge targeting eu rival airbus sas before the world trade organization,1,3
texas instruments plans buyback reuters reuters texas instruments inc the largest maker of chips for cellular phones on thursday said it plans to buy back 36 1 billion in stock and boost its quarterly dividend by more than 17 percent becoming the latest technology company to return extra cash to investors,4,3
posted by dave rosenberg 1 51 pm pdt in what seems to be one of the more bizarre and confusing aspects of the unholy alliance between sun and microsoft sun 39 s recent 10k filingincludes previously unseen legalese from the settlement agreement,4,3
forecasters more hurricanes may be on way ivan frances and charley delivered three staggering blows to the gulf coast and florida as well as caribbean island nations all in just five weeks,4,1
woods mickelson form dynamic us duo for three days it had been about dinners galas black tie affairs and enough social engagements to please paris hilton,2,1
foreseeing the suns fate astronomical interferometry reveals lt b gt lt b gt for the first time an international team of astronomers led by guy perrin from the paris observatory lesia meudon france and stephen ridgway from the national optical astronomy observatory tucson arizona usa has observed the close environment of,4,2
